Name of the NGO,Name of the  Project,Project Site,Donor Agency,Approved Amount of External, Approved  Amount of  Internal ,Project  Sector
Center forResearch on Environment Health and Population Activities,Incidence ofabortion in Nepal and its role in Maternal Mortality.,"Jhapa,Morang, Panchthar, Siraha, Solukhumbu, Sunsari, Bhaktapur, Kathmandu, Chitwan, Dhanusha, Makawanpur, Parsa, Rautahat, Sarlahi, Nawalparasi, Palpa, Rupandehi, Tanahun, Bardiya, Dang, Kalikot, Salyan, Bajhang,Doti & Kailali.","The GuttmacherInstitute, USA.","13,553,199.00",,Health(women)
Center PublicHealth and Environmental Development (CEPHED),"Customize,print and distribution of GAELP load poisoning prevention week campaign materials in Nepal.",Kathmandu,"World HealthOrganization (WHO), Country office for Nepal, UN house, Lallitpur. SENEPLPO@sea ro.who.int","149,750.00",,Health/Environment
Centre forAgro-Ecology and Development,KarnaliLivelihood Empowerme nt Program (KLEP).,Mugu,"Fastenopfer-Swiss Catholic Lenten Fund, Switzerland.","49,122,830.00",,Women/Dalit/education/ Food security
Centre forAwareness Promition (CAP) Nepal,"Don't Abort,Understand Girl child and join Hand Together to Empowerand Respect women (DAUGHTER).",Kathmandu,"Foundation OpenSociety Institute, Switzerland,","3,401,385.00",,Women/Child
Centre forAwareness Promotion (CAP) Nepal,Don't abortunderstand girl child and join hand together to empower and respect women (DAUGHTER),Kathmandu,"Foundation OpenSociety Institute, Switzerland.","3,401,385.00",,Women/Children
Centre forCommunicatio n and Development Studies,Conferenceon Intelligent Text processing and computationa l linguistics (CICLing)2014.,Lalitpur.,"Mexican Societyof Artificial Intelligence (SMIA), France.","5,122,144.00","300,000.00",InformationTechnology
Centre forCommunity Development Nepal (CCDN),Livelihoodenhancement through cooperatives.,Makawanpur,"ICCOCooperation and Evangelical Lutheran Church in America, USA,","28,800,000.00","3,529,936.00",Povertyalleviation
Centre forHuman Rights Education and Access to Justice (ED- JUS) Nepal,Strengthening rule of law and accountability to protection human rights.,Kailali,"Foundation OpenSociety Institute(FOSI), USA.","1,558,250.00",,Humanrights.
Centre forIntegrated Urban Development,Aqualift toimprove water quality in public water facilities.,"Kathmandu,Kaski & Dhanusha.","UN-HABITAT,","875,728.00","149,156.00",Drinkingwater
Centre forIntegrated Urban Development,RevitalizingKritipur: Promoting people centric pond and public spacemanagement.,Kathmandu,United NationsDevelopmentProgram (UNDP).,"5,000,000.00","515,000.00",Community development
Centre forIntegrated Urban Development,Promoterainwater harvesting and recharge as an adaptation mechanism.,Kathmandu,`,"1,954,000.00
37","586,200.00",Agriculture
Centre forMental Health& Counseling - Nepal,Communitymental health and psychosocial support program.,"Morang,Okhaldhung a, Udayapur, Rasuwa, Rolpa, Salyan, Dailekh, Bardiya,Doti, Dadeldhura, Achham & Kailali.",Tear Australia.,"24,355,173.00","1,439,462.00",Health(mental)
Centre forRural Technology,Improvedcook stove program with carbon finance (ICF).,"Dadeldhura,Baitadi, Darchula, Bajura & Bajhang.","NetherlandsDevelopment Organization (SNV Nepal), Lalitpur.","18,597,972.00",,Women/Children/ health/ forest conservatio n
Centre forRural Technology,"Livelihoodenhancement through hydraulic ram pump in Kavrepalanch owk district, Nepal.",Kavrepalanchowk,"GEF, UNDP","6,093,681.83",,Watersupply and sanitation.
Centre forVictims of Torture (CVICT),Genderresponsive recovery for sustainable project.,"Kavre,Sindhuli & Ramechhap.","The UnitedNations Entity for Gender Quality and Womens Empowerment (UN Women),","3,902,772.00",,Peacebuilding
Centre forWomen's Awareness and Development (CWAD),Educationaland economic empowermen t of women and girls.,"Kathmandu,Lalitpur & Bhaktapur.","VirginiaGildersleeve International Fund, INC. USA.","710,000.00",,Women
Centre orInvestigative Journalism,Promtion ofinvestigative journalism in Nepal strengthening electoral reporting in Nepal's constituent assembly elections2013.,"Kathmandu,Ilam andKanchanpur.","The BritishEmbassy, Kathmandu.","2,816,354.00",,communicat ion
Centre orInvestigative Journalism,Supportingdemocracy and peace- building through investigative journalism.,Dhankutaand Sunsari.,"The FinishFoundation for Media, Communication and development (VIKES).","3,727,285.20",,communicat ion
Centre orInvestigative Journalism,Promotingnational media reporting on local dialogue and conflict resolution practices.,Kathmandu,"UNDP,Kathmandu.","2,462,070.00",,communicat ion
Chandani -Nepal,HatemaloAbhiyan.,Rupandehi &Palpa.,"Foundation ofOpen Society, Switzerland.","1,182,200.00",,Media
Change Nepal,Stoptravelling sex offenders in Nepal (STSO).,Kaski,Terre deshommes - Netherlands.,"12,496,830.00",,Child
ChhahariNepal,"Childeducation, women education and street drama show.","Banke,Surkhet & Kailali.","1. Chhahari Uk,www.chhahari Nepal uk, www.chhahari- school.org 2. Arne Kuchenbecker,arnegret@web.de3. ULF Basting- Neumann, email: bastingneumann@gmail.com","3,550,222.00","1,518,997.41",Education
ChhahariNepal,"Childeducation, women education and street drama show.","Banke,Surkhet & Kailali.","1. Chhahari Uk,www.chhahari Nepal UK, www.chhahari- school.org 2. Arne Kuchenbecker,arnegret@web.de3. ULF Basting- Neumann, email: bastingneumann@gmail.com","3,550,222.00","1,518,997.41",Education
ChhimekiSanstha Nepal,Child carecenter.,Kathmandu,"Stiftung 100,Germany., Ms Gauri Giri, Ratan Gazmere and Manfred Ringhoffer, Australia., Avigya Memorial Trust, Australia. & Melli Fleigh, Germany.,","1,180,227.00",,Health
ChildDevelopment Society,Selfemployment education program.,"Kathmandu,Bhaktapur, Lalitpur, Kavre, Nuwakot, Gorkha, Dhading, Sindhupalch owk, Ramechhap, Dolakha, Makawanpur& Udayapur.","AuridisGmbH/Kindermis sionwerk and CDS friends from dubenhofen, Germany.kontakt@kindermissionw erk.de, www.kindermissio nswerk.de","9,190,280.00",,Child
Child Nepal(CN),Constructionand Running Child Development Center (CDC),Sindhupalhcok,Douglas H.Maclagan,"3,270,465.00","3,546,700.00",ChildrenandEducation
ChildWatabaran Center,Child home.,Kathmandu.,"Net4Kinds, TheNetherlands.","4,812,500.00",,Child home
ChildWatabaran Center,Mobile healthservice for street children.,Kathmandu.,"Net4Kinds, TheNetherlands.","2,539,000.00",,Health
ChildWatabaran Center,Transit clinic.,Kathmandu.,"Net4Kinds, TheNetherlands.","1,808,000.00",,Health
ChildWatabaran Center,YUBALAYA(Home for youths) and office support.,Kathmandu.,"Partage, France.","4,413,600.00",,Youth
Child Welfare,Prevention ofchild labor and human trafficking.,"Makawanpur, Ubayapur & Bara.","EDUCANEPAL,Spain.","9,678,960.00",,Child
Child Workersin Nepal Concerned Centre (CWIN),Girl power.,Banke &Makawanpur.,ICDI,"8,479,750.00",,Child
Child Workersin Nepal Concerned Centre (CWIN),Hamrosawal-hamrosahabh agita (Our concerns -our participation),"Surkhet,Ramechhap, Siraha, Achham, Kapilvastu, Mugu, Bajura, Saptari, Humla, Dhanusha, Banke & Kaski.",UNICEF.,"12,504,547.51",,Child
Child Workersin Nepal Concerned Centre (CWIN),Women andchildren empowermen t and livelihood improvement programme Dolakha.,Dolakha,FORUT - Norway.,"16,000,000.00",,Child
Child Workersin Nepal Concerned Centre (CWIN),"Girl childrenat risk (Balika, self relience centre, alcohol Drug and development public accountabilityfor child crisis response and recovery.","Kavrepalanchowk, Morang, Makawanpur, Banke, Kaski, Lalitpur, Nuwakot, Achham & Kailali.",FORUT - Norway.,"32,000,000.00",,Child
Child Workersin Nepal Concerned Centre (CWIN),Empowerment of street children through self- reliance and creative activities.,Kathmandu,Comic Relief-United Kingdom.,"47,478,215.00",,Child
Children -Nepal,School &parents for child rights.,"Kaski,Parvat & Tanahun.","A.C.InternationalChild Support, Denmark. Ph:+4586126522, F:+4586197853 email:ac@a-c.dk, www.a-c.dk","48,325,317.87",,Child right
Children andWomen inScoial Service& Human Rights (CWISH),Promotingchild rights through educational settings.,"Kathmandu,Lalitpur, Bhaktapur & Kavrepalanc howk.","Interpedia,Finland.","9,000,000.00",,Education
Children andWomen in Social & Human Rights (CWISH),Reintegratingnepaliese child domestic workers withtheir families.,"Kathmandu,Bhaktapur, Lalitpur, Kavre, Sindhupalch owk & Ramechhap.","Every Child, UK.","25,886,470.00",,Education
Children andWomen inSocial Service& Human Right (CWISH),Generatorsupport to Khandbari Hospital.,Sankhuwasabha,"BIKAS, Belgium -Nepal Association, Belgium.","531,000.00","64,500.00",Health
Children andWomen inSocial Service& Human Rights (CWISH),BaselineStudy and inception phase of project on preventing separation of children in Nepal.,Dhading,"AC International,Denmark.","701,800.00",,Child
Children andWomen inSocial Service& Human Rights (CWISH),"My home, mypermanent family (Afno ghar aafnai pariwar).",Kathmandu& Dhading.,"AC International,Denmark.","14,487,000.00",,Child
Children andWomen inSocial Service& Human Rights (CWISH),Cascademeta training for master and sprouts.,Kathmandu,"Born Global,Norway.","329,295.00",,Women
Children andWomen inSocial Service& Human Rights (CWISH),CreatingProtective Environment to the Children (CPEC).,Kavre,"Save the ChildrenInternational, Nepal.","7,500,000.00",,Child
Children andWomen inSocial Service& Human Rights (CWISH),Adopt aschool.,Bhaktapur,"Yeti Airlince,Kathmandu.","1,300,000.00",,Child/Education
Children andWomen inSocial Service& Human Rights (CWISH),Capacitybuilding workshop for women fourth level training.,Kathmandu.,"Born Global,Norway. Email: annika@bornglob al.no","439,783.00",,Women
Children CareClub,Land pursaseto child club and building construction.,Kathmandu.,"Mgr. Dr. KlausKramer, www.kindermissio nserk.de.","18,426,804.31",,Child home
Children ofThe Universe,KarunaSchool and Karuna child home.,Bhaktapur,"Sanumaiya,Netherlands.","1,800,000.00","337,291.00",Education/Child home
ChildrenProtection Support Nepal,Protectionand rentegration of street children.,"Kathmandu,Lalitpur & Bhaktapur.","The StreetChildren of NepalTrust, UK.","9,280,000.00",,Child
ChildrenWelfare and Rural Development Service (CWARDS),Support toflood victims,Kanchanpur,"Swiss ReFoundation, Switzerland. Www.swissrefoun dation.org, swissrefoundation@swissre.com","299,627.00","20,000.00",Floodvictims
ChildrenWelfare Association,Bal KalyanSastha.,Kaski,Children WelfareAssociationSwitzerland.,"9,815,310.00",,Child
ChildrenWelfareCentre (CWC),To run thechildren home.,Lalitpur,Different donor,"6,864,990.00",,Child home
ChildrenWelfare Home,Childrenwelfare home.,Lalitpur.,"Homehill SolutionLtd. (Mr. Tuomo Kotimaki), Finland., the Nonatrea Charitable Trust, UK (Mrs. Mary/Mr. Patrick Vornon)., British Gorkhas Army Camp, Lalitpur., ASAEN Association Suisse des Amits de I'Enfance Nepalese Swiss Friend of Nepal Children's Organization.","5,655,534.65",,Child home
Children'sPeace Organization Nepal,Children'sworld peace.,"Kathmandu,Lalitpur, Bhaktapur, Tanahun & Kaski.","Children's WorldPeace Organization, USA.",11595000,,Child Home
ChildspaceFoundationNepal,Establishingthe rights of marginalized tamang ethinic children to culturally sensitive learning environment and opportunity to learn native language in school.,Kathmandu& Kavrepalanc how.,"The Finnish NGOFoundation for Human Rights, Finland.","2,437,337.18","241,055.33",Child/Educaton
ChoiceHumanitarian Nepal,Communitydevelopment projects2014.,"Lamjung,Nawalparasi, Makawanpur& Chitwan.",ChoiceHumaniterian USA. lbarker@choiceh umanitarian.org,"41,907,017.00","41,464,538.46",Community development
ChokgyurLingpa Foundation,Gumba,Lalitpur &Kathmandu.,"1.RangjungYeshe Penang Buddhist Society, Malaysia. 2. Taklung Kagyu Foundation, USA.3. Chokgyur Lingpa Foundation Ltd. Hongkong. 4. Basic Goodness Foundation,","13,620,000.00
49","2,673,323.00",Religion
Citizens'Campaign for Right to Information (CCRI),ImproveImplementati on of RTI in Nepal to promotegood governance.,"Kathmandu,Bhaktapur, Kailali, Banke, Kalikot, Nawalparasi, Bara, Jhapa.","Enabling StateProgram (ESP), Lalitpur.","14,168,805.00",,Goodgovernance
Clean EnergyNepal,"""Clean air forAsia"" exchange program.",Kathmandu,"Fredskorpset(FK), Norway/The Hong Kong Polytechnic University, Norway.","1,430,143.65",,Environment
Clean EnergyNepal,Framingnational adaptation plans a process for mid and long term adaptation planning.,"Kathmandu,Rasuwa, Doti & Nepaljunj.","World WildlifeFund, Inc - Nepal.","1,386,275.00",,Environment
Clean EnergyNepal,Addingcapacity to LDC chair facilitation.,Kathmandu,"Climate ActionNetwork, SouthAsia.","945,000.00",,Environment
Clean EnergyNepal,Pilot projectfor sustainable mobility in Kathmandu.,Kathmandu,"Un-Habitat,Nairobi, Kenya.","3,600,000.00","630,000.00",Environment
Clean EnergyNepal,Un-HabitatYouth Fund Project : sustainable youth entrepreneur ship for solid waste management.,Kathmandu,"Un-Habitat,Nairobi, Kenya.UN-Habit, Lalitpur.","1,312,000.00","134,500.00",Youth
Clean EnergyNepal,Green homepromoting sustainable housing in Nepal.,Kathmandu,,"2,400,660.00","472,680.00",Community development
CollectiveCampaign for Peace (COCAP),Strengthening Capacity of human rights devenders for their intensive engagement on peace building process in Nepal.,"Kathmandu,Morang, Makawanpur, Kaski, Banke & Kanchanpur,","CURVE Wustrow -Centre for Training and Networking in Nonviolent Action e.v., Germany. apetz@kurvewust row.org","6,133,517.25",,Humanright/ Education
CollectiveCampaign for Peace (COCAP),Promotingsustainalbe peace and democracy through advocacy nad networking.,"Morang,Makawanpur, Kaski, Banke, Kanchanpur& Kathmandu.","MISEREOR/Katholische Zentralstelle for Entwicklungshife e.v. Germany, www.misereor.de, postmaster@mis ereor.de.","11,119,868.00",,Constitutionmaking
Community -based Forestry Supporters' Network,Analysis andpublicizing of commitments and policy recommenda tion to hold policy makers accountableto commitments on NRM.,Kathmandu,"Rights ResourcesInitiative, USA.","1,485,000.00",,Forest
CommunityAction Centre - Nepal (CAC- Nepal),Project fordeveloping PhD research proposal on gender inequality and trafficking issue of Nepal.,"Kathmandu,Lalitpur & Bhaktapur.","LinnaeusUniversity, Sweden.","1,631,600.00",,Women/Research
CommunityAwakening & Transformatio n Society,EducationProgramme.,Dang &Rolpa.,"Tear Fund Neth,SIM East Asia, CATS Friends, HADA, Helf fur Burder.","1,542,862.00",,Education
CommunityAwakening & Transformatio n Society,HealthService Programme. (T.B. and leprocecy,Dang &Rolpa.,"Tear Fund Neth,SIM East Asia, CATS Friends, HADA, Helf fur Burder.","1,159,119.00
52",,Health
CommunityAwakening & Transformatio n Society,"TreePlantation, DrinkingWater, Health and hygienic Awareness through Street Drame.",Dang &Rolpa.,"Tear Fund Neth,SIM East Asia, CATS Friends, HADA, Helf fur Burder.","2,804,000.00",,Health
CommunityBased Rehabilitation Service Pokhara (,"a.Punarsthapa na ra Kshiya b. Jibikoparjan c. Samahit Khsiya d. Su- shasan, Anusandhan e. Samajik parichalan.","Kaski,Syangja & Tanaun","a. Wij HelpNepal, NL, Netherlands, info@wijhelpenne pal.nl b. Stitching Lilliance Fund, India/NL, Netherlands, infolilianefonds.nl c. WMT - UK, UK, www.wmt.org.ukd. KCF, Hongkong, kadcf@kadooorie.com.","4,773,087.00","150,000.00",Disablechild/wome n/Health/Ed ucation/Pov erty allivation etc.
CommunityDevelopment Society,Empoweringwomen and children: Health and sanitation project.,Ramechhap,"Terre DesHommes, Germany.","25,600,000.00",,Child/Women/Health
CommunityMediators' Society Nepal (CMS Nepal),Promoteconflict resolution and peace building in Nepal through local dispute resolution. Project No.31770.110,Dhankuta &Kaski,"The AsiaFoundation (TAF), Kathmandu.","697,800.00",,Peacebuilding
CommunityMediators' Society Nepal,Supportorganizationa ldevelopment and programmati c intiative of the society. project No.31671.100,Dhankuta &Kaski.,"The AisaFoundation, Kathmandu.","4,790,873.00",,Mediation
CommunityMediators' Society Nepal,Support tothe Supreme Court of Nepal fortheir strategic planning on mediation project on.20020.240,Kathmandu,"The AsiaFoundation, Kathmandu.","1,424,261.00",,Mediation
CommunityMembers Interested (COMMITTED Nepal),SchoolImprovement Project for Sri Raithane Secondary School,Sindhupalhcok,"CommunityMemberInterested , USA","2,232,119.00",,Education
