District,Name of NGO in Nepali,Name of NGO in English,Acronym,Address,Telephone,Fax,Email,Website,Office Mobile,Contact Person,Working Sector
Syanja,जिल्ला आई.सि.एम. प्रविधि केन्द्र ,District I.C.M. Technique Centre,,"Putalibazar-1,Pragatinagar",063-520312,,NA,,NA,Bhim Pd. Sharma,NA
Syanja,जनचेतना युवा क्लव ,Public Awareness Youth Club,,"Tulasi Bhanjyang-3, Karmachowk",NA,,NA,,NA,Ram Pd. Adhikari,NA
Syanja,उज्ज्वल भविष्य निर्माण युवा क्लव ,Bright Future Building Youth Club,,"Thum Pokhara-4, Riyale",063-440220,,NA,,NA,Kamal Gaire,NA
Syanja,नमुना जागृती दलित समन्वय समिति ,Model Awareness Oppressed Co-ordination Committee,,"Putalibazar-1, Syangja",NA,,NA,,NA,Jamuna Sunar,NA
Syanja,शुभयात्रा गैरसरकारी संस्था ,Suva Yatra Non Government Organization,,Waling-3,NA,,NA,,9857027385,Madhu Sudan Gaire,NA
Syanja,प्रविधि हस्तान्तरण र अन्वेशषको लागि विकेन्द्रित कार्यशैली (बत्ती) ,Decentralize Work for Technology Handover and Research,,"Aarukharka-9,Sthanchaur",NA,,NA,,NA,Biswa Bandhu Paudel,NA
Syanja,अभियान युवा क्लव ,Campagin Youth Club,,"Putalibazar-7,thulibesi",NA,,NA,,NA,Parasuram Pokharel,NA
Syanja,प्रतिभा समुह ,Prativa Group,,"Chilaunebas-5,Jharkhola",NA,,NA,,9846052210,Moti Paudel,NA
Syanja,रिभर साइड युथ क्लव ,River Side Youth Club,,Tindobate,NA,,NA,,NA,NA,NA
Syanja,श्री इनर्जेटिक क्लव ,Shree Energetic Club,,"Putalibazar-1,Pragatinagar",NA,,NA,,NA,Nirmal Serchan,NA
Syanja,जनजागृति सामुदायिक क्लव ,Jana Jagrit Community Club,,"Manakamana-4,Methabhurung",NA,,NA,,NA,Surya Kunwar,NA
Syanja,आँधिखोला साहित्य सदन ,Aadhikhola Sahitya Sadan,,Waling-2,NA,,NA,,9846086001,Gayatri Lamsal,NA
Syanja,ट्रिनिटी क्लव ,Triniti Club,,"Waling-1, Tallo waling",NA,,NA,,,NA,NA
Syanja,जनकल्याण युवा परिवार ,Public Welfare Youth Family,,"Tulasi Bhanjyang-7,Labarkot",NA,,NA,,9746004698,Durga Pd. Khanal,NA
Syanja,सामुदायिक हातेमालो ,Community Based Co-operative Organization,,Putalibazar-1,063-420054,,NA,,9846076734,NA,NA
Syanja,ग्रामीण प्रवृधि प्रवद्र्धक संघ ,Association of Rural Technology Promotion,,Putalibazar-1,NA,,NA,,9846072280,Kul Dev Lamichhne,NA
Syanja,जागृति सामुदायिक विकास संस्था ,Jagrit Community Development Organization,,Birgha Archale -6,NA,,NA,,NA,Nil Kantha Pandey,NA
Syanja,सिकोस नेपाल ,Centre for Innovative Community Service,,"Silung Deurali-7, Lumtikhola",NA,,NA,,9846037808,Jagadish Regmi,NA
Syanja,हिमशिखर युवा क्लब ,Himsikhar Youth Club,,"Waling-10, Pekhuthana",9746008594,,NA,,9846088229,Khem Narayan Paudel,NA
Syanja,सेतो गुराँस बाल विकास सेवा ,Seto Gurans Child Development Service,,"Putalibazar-1, Syangja",063-420785,,,,9846070926,Durga Narayan Dhakal,"education, health"
Syanja,स्याङ्गजा सपोर्ट ग्रुप  ,Syangja Support Group,,"Putalibazar-1, Syangja",063-421010,,ssg_syangja@yahoo.com,,9846083073,Churamani Bhandari,health
Syanja,गण्डकी साहित्य परिषद ,Gandaki Literature Council,,Waling,NA,,NA,,9856027865,Prem Raj Luitel,NA
Syanja,अभियान परामर्श सेवा केन्दं ,Abhiyan Paramarsa Sewa Kendra,,Waling -1,NA,,NA,,NA,Kamal Pd. Pandey,NA
Syanja,अनुभवी अगुवा कृषक सञ्जाल ,Experienced Leading Farmer Network,,Putalibazar-1,NA,,NA,,NA,Chhabiswor Timilsina,NA
Syanja,संकल्प सहयोग समूह ,Sankalpa Sahayog Samuha,,Waling -1,063-420133,,sankalpa555@yahoo.com,,9846238203,Tuka Devi Regmi,health
Syanja,मानव अधिकारका लागि महिला एकल महिला समूह स्याङजा (सह–सदस्य) ,Single Women Group for  Human Rights,,Putalibazar-1,NA,,NA,,9846049839,Iswori Chapagain,NA
Syanja,दिदी बहिनी एवं समाज उत्थान संस्था ,Sister and Social Upliftiment Organization ,,Jagatra Devi-8,NA,,NA,,NA,Goma Tiwari,NA
Syanja,नारी सचेतना केन्द्र ,Women Awareness Centre,,Putalibazar-1,NA,,NA,,9846039170,Bhawani Adhikari,NA
Syanja,आँधिखोला क्रियटिम युथ क्लव ,Aadhikhola Creative Youth Club,,Tindobate-4,NA,,NA,,NA,Surya Bhujel,NA
Syanja,टिल्डेन प्रोजेक्ट नेपाल ,Tilden Project Nepal,,Aaruchaur-4,NA,,rabinpaudel2001@yahoo.com,,NA,NA,NA
Syangja,इनोभेटिभ सामुदायिक सेवा केन्द्र ,Centre for Innovative Community Service,,"Deaurali-7, Syangja",,,cicosnepal@gmail.com,,9841408307,Jagadish Regmi,"environment, health, education"
Syangja,सहारा समुह ,Sahara Group,,,063-420497,,saharagroupsyangja@gmail.com,,9846070865,Narayan Pd paudel,health
Tanahu,खैरेनी युवा क्लव,Khaireni Youth Club,,Khairenitar-6,NA,,NA,,,NA,NA
Tanahu,नेपाल एकीकृत ग्रामीण विकास केन्द्र,Nepal Integrated Rural Development Centre,,Byas Municipality-10,NA,,NA,,,NA,NA
Tanahu,सनराइज युवा क्लब,Sunrise Youth Club,,Bhimad-2,NA,,NA,,,NA,NA
Tanahu,जनजागृती वाचनालय,Jan Jagriti Bachanalaya,,Byas-10,NA,,NA,,,NA,NA
Tanahu,भिम्वाद आदर्श समाज,Bhimbada Ideal Society,,Bhimad-1,NA,,NA,,,NA,NA
Tanahu,ग्रामीण जनसेवा केन्द्र,Rural Public Service Centre,,Bhanu-4,NA,,NA,,,NA,NA
Tanahu,संयुक्त दलित उत्थान मंच,Joint Dalit upliftment Forum,,Bhimad-5,NA,,NA,,,NA,NA
Tanahu,राङ्गरुङ्ग युवा क्लब,Rangrung Youth Club,,Bhimad-5,NA,,NA,,,NA,NA
Tanahu,सामाजिक सशक्तिकरण मंच,Social Empowerment Forum,,Dulaigauda-7,NA,,NA,,,NA,NA
Tanahu,श्री भन्ज्याङ्ग युवा क्लब,Shree Bhanjyang Youth Club,,Jamune-4,NA,,NA,,,NA,NA
Tanahu,दुलैगौंडा आदर्श समाज,DulaiGauda Ideal Society,,Dulaigauda-7,NA,,NA,,,NA,NA
Tanahu,शुक्ला गण्डकी जनसेवा विकास संस्था,Shukla Gandaki Public Service Development Organization,,Dulaigauda-2,NA,,NA,,,NA,NA
Tanahu,ग्रामीण सशक्तिकरण समाज तनहुँ,Rural Empowement Society,,Byas-2,560539,,restanahun@wlink.com.np,,,NA,NA
Tanahu,वातावरण संरक्षण समाज ,Environment Protection Society,,NA,NA,,NA,,,NA,NA
Tanahu,ग्रामीण क्षेत्र विकस कार्यक्रम ,Rural Area Development Program,,Byas-2,NA,,NA,,,NA,NA
