Year,District,Region,Sector,NGOs Name
2066,Kathmandu,"Central
Region",Child Welfare,Bal Mandir Club
,Kathmandu,"Central
Region",Child Welfare,Bal Munch Nepal
2057,Lalitpur,"Central
Region",Child Welfare,Bal Pahila
2054,Kathmandu,"Central
Region",Child Welfare,Bal Parichalan Sanstha
2060,Kathmandu,"Central
Region",Child Welfare,Bal Pratibha Manch
2063,Kathmandu,"Central
Region",Child Welfare,Bal Punarsthapan Kendra Nepal
2063,Kathmandu,"Central
Region",Child Welfare,"Bal Purnasthapana Tatha Kalyan
Kendra"
2059,Kathmandu,"Central
Region",Child Welfare,Bal Sadan
2060,Kathmandu,"Central
Region",Child Welfare,Bal Sahakarya Nepal
2065,Morang,"Eastern
Region",Child Welfare,Bal Sahayata Kendra
2053,Kathmandu,"Central
Region",Child Welfare,Bal Sahayog Kendra
2064,Kathmandu,"Central
Region",Child Welfare,Bal Sahayog Kendra Nepal
2060,Kathmandu,"Central
Region",Child Welfare,Bal Sahayog Nepal
2063,Kathmandu,"Central
Region",Child Welfare,Bal Sahayog Nepal
2066,Morang,"Eastern
Region",Child Welfare,Bal Sahayog Sangathan Nepal
2064,Kathmandu,"Central
Region",Child Welfare,Bal Sahitya Pratisthan Nepal
2064,Kathmandu,"Central
Region",Child Welfare,"Bal Saichhik Pratisthan Nepal
(CEF)"
2059,Morang,"Eastern
Region",Child Welfare,Bal Sakha Nepal
2057,Morang,"Eastern
Region",Child Welfare,Bal Samaj Nepal
2059,Kathmandu,"Central
Region",Child Welfare,Bal Samanway Samiti Nepal
2055,Rupandehi,"Western
Region",Child Welfare,Bal Sampark Kendra
2056,Kathmandu,"Central
Region",Child Welfare,"Bal Samrachhan Nepal (Child
Pratection)"
2065,Lamjung,"Western
Region",Child Welfare,"Bal Samrachhan Samanbaya
Samiti"
2064,Rupandehi,"Western
Region",Child Welfare,Bal Samrakchhan Mission
2065,Kathmandu,"Central
Region",Child Welfare,"Bal Samrakchhan Tatha Samajik
Utthan Abhiyan Nepal"
2055,Banke,"Mid Western
Region",Child Welfare,"Bal Samrakshyan Tatha Bikas
Sangh Nepal"
2060,Kathmandu,"Central
Region",Child Welfare,Bal Sanrakshyan Grih
2063,Bara,"Central
Region",Child Welfare,Bal Sanrakshyan Nepal
2060,Kathmandu,"Central
Region",Child Welfare,"Bal Sanrakshyan Tatha Mahila
Shashakttikaran Sanstha Nepal"
2055,Dhanusha,"Central
Region",Child Welfare,Bal Sanrakshyana Kendra
2057,Lalitpur,"Central
Region",Child Welfare,Bal Sanrakshyana Kendra
2061,Kathmandu,"Central
Region",Child Welfare,Bal Sanrakshyana Kendra
2055,Kaski,"Western
Region",Child Welfare,Bal Sanrakshyana Manch
2055,Sarlahi,"Central
Region",Child Welfare,Bal Sanrakshyana Sanstha
2062,Dang,"Mid Western
Region",Child Welfare,"Bal Sanrakshyana Tatha Mahila
Sashattikarana Sanstha Nepal"
2062,Lalitpur,"Central
Region",Child Welfare,"Bal Sanrakshyana Tatha
Samudayik Bikas Manch"
2060,Kathmandu,"Central
Region",Child Welfare,"Bal Sanrakshyana Tatham Bikas
Sanstha"
2064,Kathmandu,"Central
Region",Child Welfare,Bal Sansar
2059,Lamjung,"Western
Region",Child Welfare,Bal Sapana Samaj
2064,Kathmandu,"Central
Region",Child Welfare,Bal Sarathi
2061,Bajhang,"Far Western
Region",Child Welfare,Bal Sarokar Kendra
2061,Dang,"Mid Western
Region",Child Welfare,Bal Sarokar Sanchar Samuh
2064,Jumla,"Mid Western
Region",Child Welfare,"Bal Sarokar Tatha Anusandhan
Kendra"
2063,Kathmandu,"Central
Region",Child Welfare,"Bal Sarokar Tatha Anusandhan
Kendra Nepal"
2055,Kathmandu,"Central
Region",Child Welfare,"Bal Sarokar Tatha Gramin Mahila
Bikas Kendra Nepal"
2065,Kathmandu,"Central
Region",Child Welfare,Bal Sathi Nepal
2064,Lalitpur,"Central
Region",Child Welfare,Bal Sewa (Kinder Hilfus Work)
2052,Lalitpur,"Central
Region",Child Welfare,Bal Sewa Griha
2060,Kathmandu,"Central
Region",Child Welfare,Bal Sewa Kendra
2064,Khotang,"Eastern
Region",Child Welfare,Bal Sewa Samaj
2063,Kathmandu,"Central
Region",Child Welfare,Bal Shikshya Sewa Kendra
2053,Lalitpur,"Central
Region",Child Welfare,Bal Shikshyaa Bikas Pariyojana
2061,Kathmandu,"Central
Region",Child Welfare,Bal Shikshyaa Grih Nepal
2056,Kathmandu,"Central
Region",Child Welfare,Bal Shikshyaa Jyoti Kendra
2062,Kathmandu,"Central
Region",Child Welfare,Bal Shikshyaa Nepal
2060,Kathmandu,"Central
Region",Child Welfare,Bal Shikshyaa Sahayata Samuh
,Kathmandu,"Central
Region",Child Welfare,"Bal Shikshyaa Sahayog Tatha
Sanrakshyana Kendra"
2059,Kathmandu,"Central
Region",Child Welfare,"Bal Shikshyaa Swasthya Tatha
Samudayik Bikas Kendra Nepal"
2060,Dhading,"Central
Region",Child Welfare,Bal Shishu Syahar  Kendra
2051,Sunsari,"Eastern
Region",Child Welfare,BAL SICHHA ABHIYAN
2066,Kaski,"Western
Region",Child Welfare,Bal Sichhya Sewa Samaj Nepal
2063,Lalitpur,"Central
Region",Child Welfare,Bal Sneh Nepal
2061,Lalitpur,"Central
Region",Child Welfare,Bal Sneha Nepal
2065,Sunsari,"Eastern
Region",Child Welfare,Bal Surachhit Griha Nepal 2065
2058,Kathmandu,"Central
Region",Child Welfare,"Bal Surakshyaa Tatha Mahila
Shashattikarana Janachetana
Sama"
2055,Lamjung,"Western
Region",Child Welfare,"Bal Swasthya Ra Batabarana
Bachau Samaj"
2064,Kathmandu,"Central
Region",Child Welfare,Bal Swasthya Sangathan
2054,Saptari,"Eastern
Region",Child Welfare,"Bal Swasthya Tatha Batabaraniya
Sanstha"
2063,Kathmandu,"Central
Region",Child Welfare,Bal Swasthya Utthan Samaj
2062,Kathmandu,"Central
Region",Child Welfare,Bal Tatha Apang Sewa Kendra
2059,Kavre,"Central
Region",Child Welfare,Bal Tatha Bridhh Kalyan Kendra
2054,Tanahu,"Western
Region",Child Welfare,Bal Tatha Mahila Bikas Kendra
2054,Kailali,"Far Western
Region",Child Welfare,Bal Tatha Mahila Bikas Samaj
,Ilam,"Estern
Region",Child Welfare,Bal Tatha Mahila Bikas Samaj
2057,Kathmandu,"Central
Region",Child Welfare,"Bal Tatha Mahila Bikas Shrot
Kendra"
2056,Bhaktapur,"Central
Region",Child Welfare,Bal Tatha Mahila Hit Samaj Nepal
2058,Chitawan,"Central
Region",Child Welfare,Bal Tatha Mahila Hitakari Sanstha
2057,Kathmandu,"Central
Region",Child Welfare,"Bal Tatha Mahila Janachetana
Samaj Nepal"
2059,Bara,"Central
Region",Child Welfare,Bal Tatha Mahila Kalyan
,Palpa,"Western
Region",Child Welfare,"Bal Tatha Mahila Kalyan Kendra
Nepal"
2052,Kathmandu,"Central
Region",Child Welfare,Bal Tatha Mahila Kalyana Kendra
2065,Morang,"Eastern
Region",Child Welfare,"Bal Tatha Mahila Samrakchhan
Nepal"
2054,Rautahat,"Central
Region",Child Welfare,Bal Tatha Mahila Sarokar Samaj
2059,Rautahat,"Central
Region",Child Welfare,"Bal Tatha Mahila Sarwaina Bikas
Kendra Nepal"
2056,Bara,"Central
Region",Child Welfare,Bal Tatha Mahila Sewa Kendra
2065,Mugu,"Mid Western
Region",Child Welfare,"Bal Tatha Mahila Sikchhya
Sahakarya Nepal"
2063,Rolpa,"Mid Western
Region",Child Welfare,Bal Tatha Mahila Utperit Kendra
2056,Chitawan,"Central
Region",Child Welfare,Bal Tatha Mahila Utthan Kendra
2061,Kaski,"Western
Region",Child Welfare,Bal Tatha Samaj Kalyana Club
2056,Kathmandu,"Central
Region",Child Welfare,"Bal Tatha Yuwa Parichalan
Pratishathan Nepal"
2063,Bhaktapur,"Central
Region",Child Welfare,"Bal Tatha Yuwa Shaikshik Wikash
Manch"
2058,Sindhupalchok,"Central
Region",Child Welfare,Bal Udhhar Kendra
2059,Kathmandu,"Central
Region",Child Welfare,Bal Udhhar Samaj Sangh
,Lalitpur,"Central
Region",Child Welfare,Bal Ujjal Bhawishaya Nepal
,Kathmandu,"Central
Region",Child Welfare,"Bal Upakar Tatha Prashikshyana
Kendra"
2066,Kathmandu,"Central
Region",Child Welfare,Bal Uthhan Kendra
2063,Sarlahi,"Central
Region",Child Welfare,Bal Utthan Sahayogi Samaj
2058,Kathmandu,"Central
Region",Child Welfare,Bal Utthan Samaj
2061,Lalitpur,"Central
Region",Child Welfare,Bal Utthan Samaj
,Kathmandu,"Central
Region",Child Welfare,Bal Utthan Samuh Nepal
2063,Kathmandu,"Central
Region",Child Welfare,Bal Utthan Sanrakshyan Grih
2063,Kathmandu,"Central
Region",Child Welfare,Bal Utthan Sanstha Nepal
2061,Dang,"Mid Western
Region",Child Welfare,"Bal Utthan Tatha Mahila
Sachetana Yuwa Club"
2055,Banke,"Mid Western
Region",Child Welfare,"Bal Utthanaka Lagi Samajik
Manch"
,Kathmandu,"Central
Region",Child Welfare,Bal Wikas Club
2060,Banke,"Mid Western
Region",Child Welfare,Bal Yuwa Manch
2061,Kathmandu,"Central
Region",Child Welfare,Bal Yuwa Rag Manch Nepal
2059,Kathmandu,"Central
Region",Child Welfare,"Balabalika Bandi Tatha Ashritaka
Lagi Karya Samuh"
2061,Pyuthan,"Mid Western
Region",Child Welfare,"Balabalika Ekal Mahila Tatha
Bridhh Abhibhawak Sarokar Kendr"
2061,Saptari,"Eastern
Region",Child Welfare,"Balabalika Kalyana Tatha Asahaya
Bridhh Mahila Enw Batabaran"
2062,Kaski,"Western
Region",Child Welfare,Balabalika Kramik Bikas Kendra
2061,Kaski,"Western
Region",Child Welfare,"Balabalika Lagi Shikshyaa Ra
Swasthya Sahayog Samaj"
2061,Saptari,"Eastern
Region",Child Welfare,Balabalika Sahayata Kendra Nepal
2061,Kathmandu,"Central
Region",Child Welfare,Balabalika Sahayog Nepal
2057,Kathmandu,"Central
Region",Child Welfare,"Balabalika Shikshyaa Tatha
Samajik Sewa Sangh Nepal"
2063,Kathmandu,"Central
Region",Child Welfare,Balabalika Syahar Club
2062,Bara,"Central
Region",Child Welfare,"Balabalika Tatha Batabaran Samaj
Nepal"
2063,Sindhupalchok,"Central
Region",Child Welfare,"Balabalika Tatha Ganu Sudhar
Kendra Gati"
2062,Sindhupalchok,"Central
Region",Child Welfare,"Balabalika Tatha Gramin Bikas
Kendra"
2062,Kanchanpur,"Far Western
Region",Child Welfare,"Balabalika Tatha Mahida
Janachetana Bikas Manch"
2063,Kapilbastu,"Western
Region",Child Welfare,"Balabalika Tatha Mahila
Agrasarata"
2061,Lalitpur,"Central
Region",Child Welfare,"Balabalika Tatha Mahila Bachau
Abhiyan Nepal"
2062,Dadeldhura,"Far Western
Region",Child Welfare,"Balabalika Tatha Mahila Jan
Chetana Bikas Kendra"
2062,Banke,"Mid Western
Region",Child Welfare,"Balabalika Tatha Manaw Utthan
Kendra"
2063,Sindhupalchok,"Central
Region",Child Welfare,"Balabalika Tatha Samaj Bikas
Kendra Bahrabise"
2063,Kathmandu,"Central
Region",Child Welfare,"Balabalika Utthanaka Lagi
Sahakarya Ra Samanwaya Nepal"
2062,Dang,"Mid Western
Region",Child Welfare,"Balabalikaka Lagi Shikshyaa
Nepal"
2060,Kathmandu,"Central
Region",Child Welfare,Balabalikako Lagi Desro Mouka
2063,Lalitpur,"Central
Region",Child Welfare,"Balabalikako Nimti Sancharakarmi
Samuh"
2063,Kathmandu,"Central
Region",Child Welfare,Balagrih Mahasangh Nepal
2054,Sindhupalchok,"Central
Region",Child Welfare,Balahit Sanrakshyana Manch
,Kathmandu,"Central
Region",Child Welfare,Balahit Sewa Samaj
2061,Kathmandu,"Central
Region",Child Welfare,Balahitaka Lagi Samwadhhat
2060,Bara,"Central
Region",Child Welfare,Balajagriti Abhiyan Kendra
2062,Rupandehi,"Western
Region",Child Welfare,"Balakalyan Samudayik Bikas
Sasntha"
2062,Kathmandu,"Central
Region",Child Welfare,Balasewa Samaj
2061,Bara,"Central
Region",Child Welfare,Balashakha Mahila Samuh
2065,Kathmandu,"Central
Region",Child Welfare,"Balbalika Apang Anath Purna
Bikas Nepal"
2066,Banke,"Mid Western
Region",Child Welfare,"Balbalika Bikaska Lagi
Punarsthapana Kendra"
2064,Makwanpur,"Central
Region",Child Welfare,Balbalika ko lagi Yuwa Samaj
2064,Kathmandu,"Central
Region",Child Welfare,"Balbalika Nawayubak Ra Yuwa
Abhiyan Nepal"
2064,Kathmandu,"Central
Region",Child Welfare,Balbalika Sahayogarth Hatharu
2065,Lalitpur,"Central
Region",Child Welfare,Balbalika Sarokar Samuha
2063,Kathmandu,"Central
Region",Child Welfare,"Balbalika tatha Batabaran Sudhar
Samaj"
2058,Kathmandu,"Central
Region",Child Welfare,"Balbalika Tatha Mahila Jagriti
Samaj Nepal"
2066,Lalitpur,"Central
Region",Child Welfare,Balbalika Tatha Yuwa Pratham
2065,Kathmandu,"Central
Region",Child Welfare,Balbalikaharuko Lagi Yuwa Nepal
2064,Kathmandu,"Central
Region",Child Welfare,Balbalikaharuko Saathi (CAP)
2066,Sunsari,"Eastern
Region",Child Welfare,"Balbalikako Lagi Sahayogi Sewa
Samuha Nepal"
2066,Kathmandu,"Central
Region",Child Welfare,Balbalikako Manav Adhikar Nepal
2064,Bara,"Mid Western
Region",Child Welfare,Balbikas Samaj
2064,Kaski,"Western
Region",Child Welfare,Balgriha Sanjal
2066,Kathmandu,"Central
Region",Child Welfare,Balgriha Sanjal Nepal
2053,Kathmandu,"Central
Region",Child Welfare,Balhit Nirikshyana Samaj
2051,Udayapur,"Eastern
Region",Child Welfare,Balhit Samaj
2064,Saptari,"Eastern
Region",Child Welfare,Balhit Samrakchhan Sanstha
2063,Bhaktapur,"Central
Region",Child Welfare,Balhit Samuha Nepal
2055,Morang,"Eastern
Region",Child Welfare,Balhit Sanrakshyana Manch Nepal
2064,Sunsari,"Eastern
Region",Child Welfare,Balhit Sarokar Samaj
2055,Sindhuli,"Central
Region",Child Welfare,Balika Anand Grih
2053,Kathmandu,"Central
Region",Child Welfare,Balkalyan Samaj
,Dhankutta,"Eastern
Region",Child Welfare,Balkalyan Samiti
2064,Kathmandu,"Central
Region",Child Welfare,Balkalyan Sarokar Sanjal
2056,Tanahu,"Western
Region",Child Welfare,Balkalyana Samuhik Samiti
2057,Kathmandu,"Central
Region",Child Welfare,Balko Lagi Bishwo Nepal
2061,Lalitpur,"Central
Region",Child Welfare,Bamal Kalyana Sewa Nepal
2053,Rautahat,"Central
Region",Child Welfare,Banshiram Jayasawal Anathalaya
,Kathmandu,"Central
Region",Child Welfare,Bardan Ashram
2050,Lalitpur,"Central
Region",Child Welfare,Bardan Kunj
2055,Bardiya,"Mid Western
Region",Child Welfare,Bardiya Bal Bikas
2057,Kathmandu,"Central
Region",Child Welfare,"Batabaran  Tatha Bal Sarokar
Sasntha Nepal"
2061,Rautahat,"Central
Region",Child Welfare,"Batabarana Jan Swasthya Tatha
Bal Bikas Kendra"
2054,Surkhet,"Mid Western
Region",Child Welfare,"Batabarana Mahila Tatha Bal
Bikas Kendra"
2056,Kathmandu,"Central
Region",Child Welfare,"Batabarana Sanrakshyana Tatha
Bal Muktti Kendra Nepal"
2061,Bhaktapur,"Central
Region",Child Welfare,"Batabarana Tatha Bal Balika
Sanrakshyana Manch"
2052,Kathmandu,"Central
Region",Child Welfare,Bhabishaya Bachaou
2057,Doti,"Far Western
Region",Child Welfare,Bhageshwar Bal Bikas Kendra
2064,Makwanpur,"Central
Region",Child Welfare,"Bipanna Bal Saichhik Bikas
Sanstha"
2062,Kathmandu,"Central
Region",Child Welfare,"Birendra Shanti Bal Kalyana
Kendra"
2063,Chitawan,"Central
Region",Child Welfare,Bishwashanti Bal Sangathan
2066,Morang,"Eastern
Region",Child Welfare,"Bishwo Shanti Nawatara Bal
Ashram"
2061,Bajhang,"Far Western
Region",Child Welfare,"Bridhh Anath Mahila Tatha
Balabika Kshyetriya Bikas Kendra"
2061,Kathmandu,"Central
Region",Child Welfare,"Bridhhabridha Balabalika Tatha
Din Hin Sewa Kendra Nepal"
2058,Kathmandu,"Central
Region",Child Welfare,"Budhanilakanth Bal Kalyana
Kendra"
2062,Kathmandu,"Central
Region",Child Welfare,"Budhh Jyoti Bal Purnasthapana
Kendra"
2058,Kathmandu,"Central
Region",Child Welfare,Budhh Smriti Bal Grih
2054,Kathmandu,"Central
Region",Child Welfare,Budhist Bal Griha
2066,Kathmandu,"Central
Region",Child Welfare,Burgandi Nepal Bal Griha
2064,Rupandehi,"Western
Region",Child Welfare,"Butwal Bethlehev Arth Anath Bal
Sewa tatha Samaj Sewa Vinistry"
2066,Lalitpur,"Central
Region",Child Welfare,Chanha Bal Sudhar Griha
2061,Kathmandu,"Central
Region",Child Welfare,"Chawahil Pashupati Bal Ashram
Nepal"
2061,Kaski,"Western
Region",Child Welfare,Chetana Bal Kendra
2063,Banke,"Mid Western
Region",Child Welfare,Chhahari Nepal
2066,Kaski,"Western
Region",Child Welfare,"Child Dream Foundation Kaski
Nepal"
2063,Kathmandu,"Central
Region",Child Welfare,Child Hom Nepal
2066,Kaski,"Western
Region",Child Welfare,Child Welfare And Education
2059,Rautahat,"Central
Region",Child Welfare,"Children And Women's
Development Organization"
2062,Lalitpur,"Central
Region",Child Welfare,"Children at Risk Network Nepal
(Karnit Nepal)"
2065,Kathmandu,"Central
Region",Child Welfare,Children For Green New Nepal
2052,Kathmandu,"Central
Region",Child Welfare,Children of Mountain Nepal
2066,Kathmandu,"Central
Region",Child Welfare,Children Of The Mountain
2064,Dhading,"Central
Region",Child Welfare,Chumar Balbikas Sewa Kendra
2065,Bara,"Central
Region",Child Welfare,"Dalit Bal Tatha Mahila Jagaran
Kendra"
2063,Jajarkot,"Mid Western
Region",Child Welfare,"Dalit Balabalika Sanrakshyana
Kendra"
2056,Jhapa,"Eastern
Region",Child Welfare,Dalit Wal Sewa Grih
2064,Kathmandu,"Central
Region",Child Welfare,"Daya Sagar Asahaya Bal
Samrakchhan Kendra Nepal"
2055,Sunsari,"Eastern
Region",Child Welfare,Dharan Children Home
2053,Baglung,"Western
Region",Child Welfare,Dhaulagiri Bal Sewa Grih
2061,Rukum,"Mid Western
Region",Child Welfare,"Dhhand Pidit Bal Sarokar Kendra
Rukum Nepal"
2063,Kathmandu,"Central
Region",Child Welfare,"Dhhand Pidit Balabalika Sarokar
Kendra Nepal"
2062,Kathmandu,"Central
Region",Child Welfare,"Dhhand Pidit Balabalika Sudhar
Kendra Nepal"
2062,Kavre,"Central
Region",Child Welfare,"Dhhand Pidit Balabalika Tatha
Sanrakshyana Abhiyan Nepal"
2062,Kathmandu,"Central
Region",Child Welfare,"Dhhand Pidit Tuhura Bal Utthan
Kendra Nepal"
2061,Salyan,"Mid Western
Region",Child Welfare,"Dhhandhh Pidit Mahila Tatha Bal
Balika Sanrakshyana Kendra S"
2053,Jhapa,"Eastern
Region",Child Welfare,Dhimal Kalyana Kosha Damak
2061,Kathmandu,"Central
Region",Child Welfare,Dhruwatara Bal Bikas Samaj
2064,Lalitpur,"Central
Region",Child Welfare,"Dibyaankar Bal Bikas Parbardhan
tatha Anusandhan Kendra"
2061,Kathmandu,"Central
Region",Child Welfare,Dilasa Bal Grih
2058,Morang,"Eastern
Region",Child Welfare,"Dip Jyoti Asahaya Bal Bridhh
Nagarik Sanstha"
2062,Kathmandu,"Central
Region",Child Welfare,"Dipamani Bal Sanrakshyana Grih
Nepal"
2058,Kathmandu,"Central
Region",Child Welfare,"Diwa Shishu Syahar Tatha
Shikshyaa Kendra"
2057,Nawalparasi,"Western
Region",Child Welfare,Diyalea Shishu Kendra
2061,Kathmandu,"Central
Region",Child Welfare,"Durgam Kshyetra Mahila Tatha
Balabalika Utthan Kendra"
2063,Lalitpur,"Central
Region",Child Welfare,"Echa.ai.bhi. Sankramit Tatha
Balabalika Rpunarasthapana Kend"
2063,Arghakhanchi,"Western
Region",Child Welfare,Ekikrit Bal Bikas Sewa Kendra
2054,Kathmandu,"Central
Region",Child Welfare,Eshrwaya Anarth Ashram
2063,Kathmandu,"Central
Region",Child Welfare,Eshwarya Bal Grih
2062,Kathmandu,"Central
Region",Child Welfare,"Everest Asahaya Balabalika
Kendra"
2065,Kaski,"Western
Region",Child Welfare,Everest Bal Griha
2063,Kathmandu,"Central
Region",Child Welfare,Every Child Counts
2053,Kathmandu,"Central
Region",Child Welfare,"Friends of  Kanti Ishwari Shishu
Widhyalaya"
2063,Kathmandu,"Central
Region",Child Welfare,Fulawari Nepal
2052,Kathmandu,"Central
Region",Child Welfare,"Galaicha Majadur Tatha Bal
Uththan Kendra"
2064,Myagdi,"Western
Region",Child Welfare,Gampha Balhit Club
2057,Lamjung,"Western
Region",Child Welfare,Gandaki Anathalya
2059,Kathmandu,"Central
Region",Child Welfare,Ganesh Himal Bal Sewa Kendra
2060,Kathmandu,"Central
Region",Child Welfare,Gangajal Shishu Sadan
2055,Kathmandu,"Central
Region",Child Welfare,"Garib Anath Tatha Asahayaka
Lagi Shikshyaa Sahayog"
2052,Parbat,"Western
Region",Child Welfare,"Garib Bal Balikako Uththanaka
Lagi Gramina Kriyakalap"
2056,Kathmandu,"Central
Region",Child Welfare,"Garib Mahila Tatha Bal Bikas
Sanstha"
2062,Kathmandu,"Central
Region",Child Welfare,"Garib Tatha Anath Balabalika
Udhhar Grih"
2054,Kathmandu,"Central
Region",Child Welfare,Garib Tatha Anath Balika Grih
2062,Chitawan,"Central
Region",Child Welfare,"Garib Tatha Tuhura Sanrakshyana
Sangh"
2064,Kanchanpur,"Far Western
Region",Child Welfare,"Garibi Nibaran Ebam Bal
Sashaktikaran Sangh Nepal"
2057,Kathmandu,"Central
Region",Child Welfare,"Garibi Niwaran Tatha Bal
Sanrakshyana Parishad"
2060,Kathmandu,"Central
Region",Child Welfare,"Gariw Asahaya Tatha Asaktt
Balabalika Sanrakshyana Kendra"
2060,Kathmandu,"Central
Region",Child Welfare,"Gariw Ra Balabalikako Lagi
Sashakttikarana"
2063,Kathmandu,"Central
Region",Child Welfare,"Ghar Wihin Sadak Balabalika
Samaj Kathmandu"
2060,Lalitpur,"Central
Region",Child Welfare,Godawari Anath Grih
2065,Chitawan,"Central
Region",Child Welfare,Golbal Child Home Nepal
2053,Lalitpur,"Central
Region",Child Welfare,Good News Nepal
2062,Kathmandu,"Central
Region",Child Welfare,"Gorakha Manaslu Balabalika
Sarokar Samaj"
2061,Kathmandu,"Central
Region",Child Welfare,Gramin  Balabalika Sahara Kendra
2064,Makwanpur,"Central
Region",Child Welfare,"Gramin Asahaya Balbalika
Samudayik Punarsthapana Kendra"
2053,Kathmandu,"Central
Region",Child Welfare,"Gramin Bal Balika Sanrakshyana
Kendra"
2066,Kathmandu,"Central
Region",Child Welfare,Gramin Bal Kalyan Samaj
